codeCPV,count
45231112,28
70333000-4,28
50232100,28
77211300-5,28
45230000-8,28
50511000-0,28
50513000,28
72411000-4,28
33141621-9,28
71318000,28
45243110-6,28
44800000-8,28
79995100-6,28
44163000-0,28
34114400-3,28
03142500-3,28
34928471,28
74731000-2,28
43323000-3,28
37524100-8,28
45262600-7,28
39222100,28
32524000-2,28
03450000,28
92100000-2,28
75125000-8,28
03311000-2,28
90490000-8,28
45212225-9,28
66513200-1,28
79416200-5,28
66500000,27
44142000,27
31527100-7,27
92110000-5,27
71222100-1,27
45211000-9,27
85311300-5,27
79540000-1,27
14212000,27
15982000-5,27
79310000,27
45236119,27
45111250,27
24312122-5,27
45212361,27
60180000-3,27
90610000,27
39310000,27
92312200-3,27
45316100,27
79421000,27
45233292,27
72400000,27
45262210,27
34144400-2,27
77340000,27
50500000-0,27
66516100-1,27
42968100-0,27
75240000-0,27
18830000,27
39141000-2,27
45222000,27
45212150-2,27
33793000,27
44112000-8,27
33680000-0,27
34928500,27
15330000-0,27
79342000-3,27
33168000-5,26
71311100-2,26
43800000,26
34996100-6,26
90513500-1,26
15411000-2,26
79412000-5,26
85312320-8,26
50112000,26
45211200-1,26
37810000-9,26
79625000-1,26
85143000,26
30236000,26
31170000-8,26
45312100,26
34110000,26
60170000,26
72252000-6,26
77312100,26
75123000-4,26
63500000-4,26
34144430-1,26
35100000,26
45317100-3,26
63000000-9,26
45221000-2,26
45112730,26
28417500-3,26
79341000,26
45223110,26
92400000,26
38434540-3,26
33151000,26
28213800-6,26
66512200,26
45251141-1,26
71315000-9,26
71541000,26
33157100,26
66171000,26
18420000-9,26
31121000-0,26
45316212-4,25
45211341-1,25
45221113,25
45215212,25
30100000-0,25
45212230,25
16600000-1,25
45450000,25
79341100,25
03452000,25
85300000,25
71520000,25
09134220-5,25
45262512,25
65120000-0,25
65320000-2,25
79711000,25
45111290,25
45441000,25
77231400-2,25
33660000,25
70200000-3,25
31600000,25
66513100-0,25
32321300,25
44212310-5,25
45223800-4,25
98370000-7,25
63100000,25
71314100-3,25
16700000,25
37535280-3,25
85320000,25
35113200-1,25
90712400-5,25
66000000,25
45314000,25
75241000-7,24
71900000-7,24
60161000-4,24
45421148-3,24
80410000-1,24
90630000-2,24
30195300-5,24
31681410,24
34115200-8,24
15810000-9,24
38434540,24
42400000-0,24
44113900-4,24
80330000-6,24
45213312,24
45262640,24
24960000,24
45112600-1,24
45323000-7,24
98312000,24
90722100-5,24
45240000,24
45244000,24
39296100-4,24
34139000-0,24
22111000,24
45259900-6,24
18130000-9,24
90922000-6,24
50410000,24
34993000,24
22900000-9,24
33770000-8,24
34144710-8,24
50530000,24
45213252,24
90511200,24
92400000-5,24
45212410,23
79400000,23
45432000,23
38221000-0,23
24951000-5,23
34114000,23
50312000,23
73000000-2,23
34620000-9,23
45232200-4,23
45232121,23
66334100-1,23
45230000,23
45213141,23
72310000-1,23
71631400,23
45232210,23
64210000,23
45312000,23
71351914,23
48600000-4,23
44230000-1,23
45214220,23
45233160-8,23
48218000-9,23
28861200-7,23
45221100-3,23
45314300-4,23
90512000,23
85148000,23
45212230-7,23
